Story,Diaphragm,OutputCase,CaseType,StepType,StepNumber,UX,UY,RZ,Point,X,Y,Z
Story17,D1,ED1_DYN_XN,Combination,Min,None,-0.043426,-0.00615,-0.002061,1354,19.82,7.0331,45
Story17,D1,ED1_DYN_YP,Combination,Max,None,0.003473,0.043437,0.001032,1354,19.82,7.0331,45
Story17,D1,ED1_DYN_YP,Combination,Min,None,-0.003486,-0.049624,-0.000795,1354,19.82,7.0331,45
Story17,D1,ED1_DYN_YN,Combination,Max,None,0.003473,0.043437,0.001032,1354,19.82,7.0331,45
Story17,D1,ED1_DYN_YN,Combination,Min,None,-0.003486,-0.049624,-0.000795,1354,19.82,7.0331,45
Story17,D1,ED1_DYN_09_XP,Combination,Max,None,0.043424,0.001227,0.002249,1354,19.82,7.0331,45
Story17,D1,ED1_DYN_09_XP,Combination,Min,None,-0.043415,-0.004885,-0.00211,1354,19.82,7.0331,45
Story17,D1,ED1_DYN_09_XN,Combination,Max,None,0.043424,0.001227,0.002249,1354,19.82,7.0331,45
Story17,D1,ED1_DYN_09_XN,Combination,Min,None,-0.043415,-0.004885,-0.00211,1354,19.82,7.0331,45
Story17,D1,ED1_DYN_09_YP,Combination,Max,None,0.003484,0.044701,0.000983,1354,19.82,7.0331,45
Story17,D1,ED1_DYN_09_YP,Combination,Min,None,-0.003475,-0.048359,-0.000844,1354,19.82,7.0331,45
Story17,D1,ED1_DYN_09_YN,Combination,Max,None,0.003484,0.044701,0.000983,1354,19.82,7.0331,45
Story17,D1,ED1_DYN_09_YN,Combination,Min,None,-0.003475,-0.048359,-0.000844,1354,19.82,7.0331,45
Story16,D1,Dead,LinStatic,None,None,1E-05,-0.001489,5.6E-05,1355,19.82,7.0331,42.4
Story16,D1,Live,LinStatic,None,None,0,0,0,1355,19.82,7.0331,42.4
Story16,D1,MODAL,LinModEigen,Mode,1,1E-05,1E-06,1E-06,1355,19.82,7.0331,42.4
Story16,D1,MODAL,LinModEigen,Mode,2,1E-06,1.4E-05,-1.175E-07,1355,19.82,7.0331,42.4
Story16,D1,MODAL,LinModEigen,Mode,3,-9E-06,1E-06,1E-06,1355,19.82,7.0331,42.4
Story16,D1,MODAL,LinModEigen,Mode,4,2E-06,2.947E-08,3.98E-08,1355,19.82,7.0331,42.4
Story16,D1,MODAL,LinModEigen,Mode,5,-5.386E-08,2E-06,-1.966E-09,1355,19.82,7.0331,42.4
Story16,D1,MODAL,LinModEigen,Mode,6,-1E-06,4.631E-08,1.431E-07,1355,19.82,7.0331,42.4
Story16,D1,MODAL,LinModEigen,Mode,7,-7E-06,-7.22E-08,-1.351E-07,1355,19.82,7.0331,42.4
Story16,D1,MODAL,LinModEigen,Mode,8,2.205E-08,-7E-06,8.955E-09,1355,19.82,7.0331,42.4
Story16,D1,MODAL,LinModEigen,Mode,9,-1E-06,1.208E-07,1E-06,1355,19.82,7.0331,42.4
Story16,D1,MODAL,LinModEigen,Mode,10,-1.2E-05,-2.699E-08,-2.143E-07,1355,19.82,7.0331,42.4
Story16,D1,MODAL,LinModEigen,Mode,11,-6.157E-08,-1.2E-05,3.181E-08,1355,19.82,7.0331,42.4
Story16,D1,MODAL,LinModEigen,Mode,12,2E-06,-3.912E-07,-1E-06,1355,19.82,7.0331,42.4
Story16,D1,PP,LinStatic,None,None,1E-05,-0.001489,5.6E-05,1355,19.82,7.0331,42.4
Story16,D1,TERP,LinStatic,None,None,-7E-06,-0.000332,1.3E-05,1355,19.82,7.0331,42.4
Story16,D1,TERT,LinStatic,None,None,4.393E-08,-1.8E-05,1E-06,1355,19.82,7.0331,42.4
Story16,D1,SCP,LinStatic,None,None,-1.2E-05,-0.000593,2.4E-05,1355,19.82,7.0331,42.4
Story16,D1,SCT,LinStatic,None,None,4.393E-08,-1.8E-05,1E-06,1355,19.82,7.0331,42.4
Story16,D1,SEx,LinRespSpec,Max,None,0.02884,0.002017,0.001436,1355,19.82,7.0331,42.4
Story16,D1,SEy,LinRespSpec,Max,None,0.002307,0.030647,0.000601,1355,19.82,7.0331,42.4
Story16,D1,SEx_b2,LinRespSpec,Max,None,0.028679,0.001997,0.001279,1355,19.82,7.0331,42.4
Story16,D1,SEy_b2,LinRespSpec,Max,None,0.00186,0.03059,0.000163,1355,19.82,7.0331,42.4
Story16,D1,TorX+,LinStatic,None,None,0,0,0,1355,19.82,7.0331,42.4
Story16,D1,TorX-,LinStatic,None,None,0,0,0,1355,19.82,7.0331,42.4
Story16,D1,TorY+,LinStatic,None,None,0,0,0,1355,19.82,7.0331,42.4
Story16,D1,TorY-,LinStatic,None,None,0,0,0,1355,19.82,7.0331,42.4
Story16,D1,ED1_C1_1.4CP,Combination,None,None,5E-06,-0.002576,9.8E-05,1355,19.82,7.0331,42.4
Story16,D1,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,-1.5E-05,-0.003166,0.000122,1355,19.82,7.0331,42.4
Story16,D1,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,-7E-06,-0.002831,0.000109,1355,19.82,7.0331,42.4
Story16,D1,ED1_DYN_XP,Combination,Max,None,0.040368,2.3E-05,0.002117,1355,19.82,7.0331,42.4
Story16,D1,ED1_DYN_XP,Combination,Min,None,-0.040383,-0.005625,-0.001902,1355,19.82,7.0331,42.4
Story16,D1,ED1_DYN_XN,Combination,Max,None,0.040368,2.3E-05,0.002117,1355,19.82,7.0331,42.4
Story16,D1,ED1_DYN_XN,Combination,Min,None,-0.040383,-0.005625,-0.001902,1355,19.82,7.0331,42.4
Story16,D1,ED1_DYN_YP,Combination,Max,None,0.003223,0.040104,0.000949,1355,19.82,7.0331,42.4
Story16,D1,ED1_DYN_YP,Combination,Min,None,-0.003238,-0.045707,-0.000733,1355,19.82,7.0331,42.4
Story16,D1,ED1_DYN_YN,Combination,Max,None,0.003223,0.040104,0.000949,1355,19.82,7.0331,42.4
Story16,D1,ED1_DYN_YN,Combination,Min,None,-0.003238,-0.045707,-0.000733,1355,19.82,7.0331,42.4
Story16,D1,ED1_DYN_09_XP,Combination,Max,None,0.040379,0.001168,0.002073,1355,19.82,7.0331,42.4
Story16,D1,ED1_DYN_09_XP,Combination,Min,None,-0.040372,-0.00448,-0.001947,1355,19.82,7.0331,42.4
Story16,D1,ED1_DYN_09_XN,Combination,Max,None,0.040379,0.001168,0.002073,1355,19.82,7.0331,42.4
Story16,D1,ED1_DYN_09_XN,Combination,Min,None,-0.040372,-0.00448,-0.001947,1355,19.82,7.0331,42.4
Story16,D1,ED1_DYN_09_YP,Combination,Max,None,0.003234,0.04125,0.000904,1355,19.82,7.0331,42.4
Story16,D1,ED1_DYN_09_YP,Combination,Min,None,-0.003227,-0.044562,-0.000778,1355,19.82,7.0331,42.4
