Story,OutputCase,CaseType,StepType,StepNumber,Item,Max Drift,Avg Drift,Ratio,Label,Max Loc X,Max Loc Y,Max Loc Z
Story17,MODAL,LinModEigen,Mode,12,Diaph D1 X,1E-06,3.29E-07,3.712,53,25.115,13.821,45
Story17,PP,LinStatic,None,None,Diaph D1 Y,0.000103,6.1E-05,1.689,2,0,6.446,45
Story17,TERP,LinStatic,None,None,Diaph D1 Y,2.4E-05,1.4E-05,1.726,2,0,6.446,45
Story17,TERT,LinStatic,None,None,Diaph D1 Y,1E-06,1E-06,1.724,2,0,6.446,45
Story17,SCP,LinStatic,None,None,Diaph D1 Y,4.2E-05,2.4E-05,1.726,2,0,6.446,45
Story17,SCT,LinStatic,None,None,Diaph D1 Y,1E-06,1E-06,1.724,2,0,6.446,45
Story17,SEx,LinRespSpec,Max,None,Diaph D1 X,0.000975,0.00091,1.071,15,27.834,0,45
Story17,SEx,LinRespSpec,Max,None,Diaph D1 Y,0.000938,0.000479,1.958,22,38.505,13.821,45
Story17,SEy,LinRespSpec,Max,None,Diaph D1 Y,0.001353,0.001182,1.144,2,0,6.446,45
Story17,SEx_b2,LinRespSpec,Max,None,Diaph D1 X,0.000934,0.000889,1.05,15,27.834,0,45
Story17,SEx_b2,LinRespSpec,Max,None,Diaph D1 Y,0.000842,0.000427,1.971,22,38.505,13.821,45
Story17,SEy_b2,LinRespSpec,Max,None,Diaph D1 Y,0.001065,0.001009,1.055,2,0,6.446,45
Story17,ED1_C1_1.4CP,Combination,None,None,Diaph D1 Y,0.000179,0.000106,1.696,2,0,6.446,45
Story17,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,Diaph D1 Y,0.000222,0.00013,1.705,2,0,6.446,45
Story17,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,Diaph D1 Y,0.000198,0.000116,1.703,2,0,6.446,45
Story17,ED1_DYN_XP,Combination,Max,None,Diaph D1 X,0.001395,0.001288,1.083,15,27.834,0,45
Story17,ED1_DYN_XP,Combination,Max,None,Diaph D1 Y,0.001279,0.000595,2.151,22,38.505,13.821,45
Story17,ED1_DYN_XP,Combination,Min,None,Diaph D1 X,0.001335,0.001261,1.058,15,27.834,0,45
Story17,ED1_DYN_XP,Combination,Min,None,Diaph D1 Y,0.001411,0.000778,1.813,1,0,0.701,45
Story17,ED1_DYN_XN,Combination,Max,None,Diaph D1 X,0.001395,0.001288,1.083,15,27.834,0,45
Story17,ED1_DYN_XN,Combination,Max,None,Diaph D1 Y,0.001279,0.000595,2.151,22,38.505,13.821,45
Story17,ED1_DYN_XN,Combination,Min,None,Diaph D1 X,0.001335,0.001261,1.058,15,27.834,0,45
Story17,ED1_DYN_XN,Combination,Min,None,Diaph D1 Y,0.001411,0.000778,1.813,1,0,0.701,45
Story17,ED1_DYN_YP,Combination,Max,None,Diaph D1 Y,0.001698,0.0015,1.132,2,0,6.446,45
Story17,ED1_DYN_YP,Combination,Min,None,Diaph D1 X,0.000274,0.000181,1.515,53,25.115,13.821,45
Story17,ED1_DYN_YP,Combination,Min,None,Diaph D1 Y,0.002089,0.001809,1.155,2,0,6.446,45
Story17,ED1_DYN_YN,Combination,Max,None,Diaph D1 Y,0.001698,0.0015,1.132,2,0,6.446,45
Story17,ED1_DYN_YN,Combination,Min,None,Diaph D1 X,0.000274,0.000181,1.515,53,25.115,13.821,45
Story17,ED1_DYN_YN,Combination,Min,None,Diaph D1 Y,0.002089,0.001809,1.155,2,0,6.446,45
Story17,ED1_DYN_09_XP,Combination,Max,None,Diaph D1 X,0.001383,0.001283,1.078,15,27.834,0,45
Story17,ED1_DYN_09_XP,Combination,Max,None,Diaph D1 Y,0.001293,0.000626,2.067,22,38.505,13.821,45
Story17,ED1_DYN_09_XP,Combination,Min,None,Diaph D1 X,0.001347,0.001267,1.064,15,27.834,0,45
Story17,ED1_DYN_09_XP,Combination,Min,None,Diaph D1 Y,0.001334,0.000716,1.864,22,38.505,13.821,45
Story17,ED1_DYN_09_XN,Combination,Max,None,Diaph D1 X,0.001383,0.001283,1.078,15,27.834,0,45
Story17,ED1_DYN_09_XN,Combination,Max,None,Diaph D1 Y,0.001293,0.000626,2.067,22,38.505,13.821,45
Story17,ED1_DYN_09_XN,Combination,Min,None,Diaph D1 X,0.001347,0.001267,1.064,15,27.834,0,45
Story17,ED1_DYN_09_XN,Combination,Min,None,Diaph D1 Y,0.001334,0.000716,1.864,22,38.505,13.821,45
Story17,ED1_DYN_09_YP,Combination,Max,None,Diaph D1 X,0.00023,0.000156,1.472,53,25.115,13.821,45
Story17,ED1_DYN_09_YP,Combination,Max,None,Diaph D1 Y,0.001778,0.001563,1.138,2,0,6.446,45
Story17,ED1_DYN_09_YP,Combination,Min,None,Diaph D1 Y,0.002009,0.001746,1.151,2,0,6.446,45
Story17,ED1_DYN_09_YN,Combination,Max,None,Diaph D1 X,0.00023,0.000156,1.472,53,25.115,13.821,45
Story17,ED1_DYN_09_YN,Combination,Max,None,Diaph D1 Y,0.001778,0.001563,1.138,2,0,6.446,45
Story17,ED1_DYN_09_YN,Combination,Min,None,Diaph D1 Y,0.002009,0.001746,1.151,2,0,6.446,45
Story16,Dead,LinStatic,None,None,Diaph D1 Y,0.000101,6E-05,1.69,2,0,6.446,42.4
Story16,MODAL,LinModEigen,Mode,1,Diaph D1 X,4.782E-07,3.023E-07,1.582,15,27.834,0,42.4
Story16,MODAL,LinModEigen,Mode,2,Diaph D1 Y,1E-06,4.469E-07,1.17,2,0,6.446,42.4
Story16,MODAL,LinModEigen,Mode,3,Diaph D1 X,4.61E-07,2.675E-07,1.723,53,25.115,13.821,42.4
Story16,MODAL,LinModEigen,Mode,3,Diaph D1 Y,1E-06,2.792E-08,20.308,22,38.505,13.821,42.4
Story16,MODAL,LinModEigen,Mode,4,Diaph D1 X,2E-06,1E-06,1.17,15,27.834,0,42.4
Story16,MODAL,LinModEigen,Mode,5,Diaph D1 Y,1E-06,1E-06,1.035,2,0,6.446,42.4
Story16,MODAL,LinModEigen,Mode,6,Diaph D1 X,1E-06,3.811E-07,3.104,53,25.115,13.821,42.4
