Story,Label,UniqueName,OutputCase,CaseType,StepType,StepNumber,DispX,DispY,DriftX,DriftY
Story20,6,119,TorX+,LinStatic,None,None,0,0,0,0
Story20,6,119,TorX-,LinStatic,None,None,0,0,0,0
Story20,6,119,TorY+,LinStatic,None,None,0,0,0,0
Story20,6,119,TorY-,LinStatic,None,None,0,0,0,0
Story20,6,119,ED1_C1_1.4CP,Combination,None,None,-0.000925,-0.005885,2.6E-05,0.00017
Story20,6,119,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,-0.001182,-0.007279,3.3E-05,0.00021
Story20,6,119,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,-0.001045,-0.006497,2.9E-05,0.000187
Story20,6,119,ED1_DYN_XP,Combination,Max,None,0.053265,0.03286,0.001161,0.000763
Story20,6,119,ED1_DYN_XP,Combination,Min,None,-0.055333,-0.045714,0.001218,0.001133
Story20,6,119,ED1_DYN_XN,Combination,Max,None,0.053265,0.03286,0.001161,0.000763
Story20,6,119,ED1_DYN_XN,Combination,Min,None,-0.055333,-0.045714,0.001218,0.001133
Story20,6,119,ED1_DYN_YP,Combination,Max,None,0.009178,0.066609,0.000212,0.001584
Story20,6,119,ED1_DYN_YP,Combination,Min,None,-0.011246,-0.079464,0.00027,0.001955
Story20,6,119,ED1_DYN_YN,Combination,Max,None,0.009178,0.066609,0.000212,0.001584
Story20,6,119,ED1_DYN_YN,Combination,Min,None,-0.011246,-0.079464,0.00027,0.001955
Story20,6,119,ED1_DYN_09_XP,Combination,Max,None,0.053705,0.035503,0.001173,0.000839
Story20,6,119,ED1_DYN_09_XP,Combination,Min,None,-0.054894,-0.04307,0.001206,0.001057
Story20,6,119,ED1_DYN_09_XN,Combination,Max,None,0.053705,0.035503,0.001173,0.000839
Story20,6,119,ED1_DYN_09_XN,Combination,Min,None,-0.054894,-0.04307,0.001206,0.001057
Story20,6,119,ED1_DYN_09_YP,Combination,Max,None,0.009618,0.069253,0.000225,0.00166
Story20,6,119,ED1_DYN_09_YP,Combination,Min,None,-0.010807,-0.07682,0.000258,0.001879
Story20,6,119,ED1_DYN_09_YN,Combination,Max,None,0.009618,0.069253,0.000225,0.00166
Story20,6,119,ED1_DYN_09_YN,Combination,Min,None,-0.010807,-0.07682,0.000258,0.001879
Story20,7,120,Dead,LinStatic,None,None,0.000574,-0.002953,1.7E-05,8.5E-05
Story20,7,120,Live,LinStatic,None,None,0,0,0,0
Story20,7,120,MODAL,LinModEigen,Mode,1,2E-05,-1E-05,4.533E-07,2.458E-07
Story20,7,120,MODAL,LinModEigen,Mode,2,-3.763E-07,2E-05,1.095E-08,4.765E-07
Story20,7,120,MODAL,LinModEigen,Mode,3,-4E-06,-1E-05,5.802E-08,2.472E-07
Story20,7,120,MODAL,LinModEigen,Mode,4,2E-05,-4E-06,2E-06,3.434E-07
Story20,7,120,MODAL,LinModEigen,Mode,5,-1E-06,1.8E-05,4.086E-08,2E-06
Story20,7,120,MODAL,LinModEigen,Mode,6,5E-06,-1.5E-05,4.755E-07,1E-06
Story20,7,120,MODAL,LinModEigen,Mode,7,1.9E-05,-3E-06,3E-06,4.608E-07
