Story,OutputCase,CaseType,StepType,StepNumber,Direction,Drift,Label,X,Y,Z
Story17,MODAL,LinModEigen,Mode,5,Y,2E-06,2,0,6.446,45
Story17,MODAL,LinModEigen,Mode,6,X,1E-06,53,25.115,13.821,45
Story17,MODAL,LinModEigen,Mode,6,Y,2E-06,2,0,6.446,45
Story17,MODAL,LinModEigen,Mode,7,X,2E-06,15,27.834,0,45
Story17,MODAL,LinModEigen,Mode,8,Y,2E-06,2,0,6.446,45
Story17,MODAL,LinModEigen,Mode,9,X,2E-06,53,25.115,13.821,45
Story17,MODAL,LinModEigen,Mode,9,Y,3E-06,2,0,6.446,45
Story17,MODAL,LinModEigen,Mode,10,X,2E-06,15,27.834,0,45
Story17,MODAL,LinModEigen,Mode,11,Y,2E-06,2,0,6.446,45
Story17,MODAL,LinModEigen,Mode,12,X,1E-06,53,25.115,13.821,45
Story17,PP,LinStatic,None,None,Y,0.000103,2,0,6.446,45
Story17,TERP,LinStatic,None,None,Y,2.4E-05,2,0,6.446,45
Story17,TERT,LinStatic,None,None,Y,1E-06,2,0,6.446,45
Story17,SCP,LinStatic,None,None,Y,4.2E-05,2,0,6.446,45
Story17,SCT,LinStatic,None,None,Y,1E-06,2,0,6.446,45
Story17,SEx,LinRespSpec,Max,None,X,0.000975,15,27.834,0,45
Story17,SEx,LinRespSpec,Max,None,Y,0.000938,22,38.505,13.821,45
Story17,SEy,LinRespSpec,Max,None,Y,0.001353,2,0,6.446,45
Story17,SEx_b2,LinRespSpec,Max,None,X,0.000934,15,27.834,0,45
Story17,SEx_b2,LinRespSpec,Max,None,Y,0.000842,22,38.505,13.821,45
Story17,SEy_b2,LinRespSpec,Max,None,Y,0.001065,2,0,6.446,45
Story17,ED1_C1_1.4CP,Combination,None,None,Y,0.000179,2,0,6.446,45
Story17,ED1_C2_1.2CP_1.6L_0.5Lr,Combination,None,None,Y,0.000222,2,0,6.446,45
Story17,ED1_C3_1.2CP_L_1.6Lr,Combination,None,None,Y,0.000198,2,0,6.446,45
Story17,ED1_DYN_XP,Combination,Max,None,X,0.001395,15,27.834,0,45
Story17,ED1_DYN_XP,Combination,Max,None,Y,0.001279,22,38.505,13.821,45
Story17,ED1_DYN_XP,Combination,Min,None,X,0.001335,15,27.834,0,45
Story17,ED1_DYN_XP,Combination,Min,None,Y,0.001411,1,0,0.701,45
Story17,ED1_DYN_XN,Combination,Max,None,X,0.001395,15,27.834,0,45
Story17,ED1_DYN_XN,Combination,Max,None,Y,0.001279,22,38.505,13.821,45
Story17,ED1_DYN_XN,Combination,Min,None,X,0.001335,15,27.834,0,45
Story17,ED1_DYN_XN,Combination,Min,None,Y,0.001411,1,0,0.701,45
Story17,ED1_DYN_YP,Combination,Max,None,Y,0.001698,2,0,6.446,45
Story17,ED1_DYN_YP,Combination,Min,None,X,0.000274,53,25.115,13.821,45
Story17,ED1_DYN_YP,Combination,Min,None,Y,0.002089,2,0,6.446,45
Story17,ED1_DYN_YN,Combination,Max,None,Y,0.001698,2,0,6.446,45
Story17,ED1_DYN_YN,Combination,Min,None,X,0.000274,53,25.115,13.821,45
Story17,ED1_DYN_YN,Combination,Min,None,Y,0.002089,2,0,6.446,45
Story17,ED1_DYN_09_XP,Combination,Max,None,X,0.001383,15,27.834,0,45
Story17,ED1_DYN_09_XP,Combination,Max,None,Y,0.001293,22,38.505,13.821,45
Story17,ED1_DYN_09_XP,Combination,Min,None,X,0.001347,15,27.834,0,45
Story17,ED1_DYN_09_XP,Combination,Min,None,Y,0.001334,22,38.505,13.821,45
Story17,ED1_DYN_09_XN,Combination,Max,None,X,0.001383,15,27.834,0,45
Story17,ED1_DYN_09_XN,Combination,Max,None,Y,0.001293,22,38.505,13.821,45
Story17,ED1_DYN_09_XN,Combination,Min,None,X,0.001347,15,27.834,0,45
Story17,ED1_DYN_09_XN,Combination,Min,None,Y,0.001334,22,38.505,13.821,45
Story17,ED1_DYN_09_YP,Combination,Max,None,X,0.00023,53,25.115,13.821,45
Story17,ED1_DYN_09_YP,Combination,Max,None,Y,0.001778,2,0,6.446,45
Story17,ED1_DYN_09_YP,Combination,Min,None,Y,0.002009,2,0,6.446,45
Story17,ED1_DYN_09_YN,Combination,Max,None,X,0.00023,53,25.115,13.821,45
Story17,ED1_DYN_09_YN,Combination,Max,None,Y,0.001778,2,0,6.446,45
Story17,ED1_DYN_09_YN,Combination,Min,None,Y,0.002009,2,0,6.446,45
Story16,Dead,LinStatic,None,None,Y,0.000101,2,0,6.446,42.4
Story16,MODAL,LinModEigen,Mode,1,X,4.782E-07,15,27.834,0,42.4
Story16,MODAL,LinModEigen,Mode,2,Y,1E-06,2,0,6.446,42.4
Story16,MODAL,LinModEigen,Mode,3,X,4.61E-07,53,25.115,13.821,42.4
Story16,MODAL,LinModEigen,Mode,3,Y,1E-06,22,38.505,13.821,42.4
Story16,MODAL,LinModEigen,Mode,4,X,2E-06,15,27.834,0,42.4
Story16,MODAL,LinModEigen,Mode,5,Y,1E-06,2,0,6.446,42.4
